keyword_id,target_customer_type,country_or_region,city,keyword_pattern,example_search_query,search_intent,keyword_intent_type,priority_level,keyword_status,used_recently,last_used_at,next_allowed_at,cooldown_days,blocked_reason,manual_review_required,discovery_quality_score,contactability_score,total_runs,total_leads_collected,ready_to_contact_count,contact_found_count,duplicate_count,news_only_count,no_contact_count,relevance_ratio,notes,last_updated,change_note
KW-0011,pub group,Australia,,pub group owner Australia,,"Generator: template=T2, risk=medium",Discovery,high,New,Yes,2026-05-29T14:50:33.056511,2026-06-12T14:50:33.056511,14,,,0.5,0.0,1,1,0,0,,,,,,,
KW-0012,restaurant owner,Australia,,group restaurant owner head office Australia,,"Generator: template=T3, risk=low",Discovery,medium,New,,,,14,,,,,0,0,0,0,,,,,,,
KW-0013,hotel group,Australia,,group hotel group head office Australia,,"Generator: template=T3, risk=low",Discovery,medium,New,,,,14,,,,,0,0,0,0,,,,,,,
KW-0014,hotel F&B manager,Australia,,group hotel F&B manager head office Australia,,"Generator: template=T3, risk=low",Discovery,medium,New,,,,14,,,,,0,0,0,0,,,,,,,
KW-0015,restaurant group,Australia,,"""owner"" ""restaurant group"" Australia",,"Generator: template=T4, risk=medium",Discovery,high,New,,,,14,,,,,0,0,0,0,,,,,,,
KW-0016,restaurant owner,Australia,,"""owner"" ""restaurant owner"" Australia",,"Generator: template=T4, risk=medium",Discovery,high,New,Yes,2026-05-29T14:50:33.052335,2026-06-12T14:50:33.052335,14,,,0.5,0.0,1,1,0,0,,,,,,,
KW-0017,hotel group,Australia,,"""owner"" ""hotel group"" Australia",,"Generator: template=T4, risk=medium",Discovery,high,New,Yes,2026-05-29T14:50:33.055501,2026-06-12T14:50:33.055501,14,,,0.5,0.0,1,1,0,0,,,,,,,
KW-0018,restaurant group,Australia,,site:.com.au restaurant group contact Australia,,"Generator: template=T5, risk=medium",Discovery,medium,New,,,,14,,,,,0,0,0,0,,,,,,,
KW-0019,restaurant owner,Australia,,site:.com.au restaurant owner contact Australia,,"Generator: template=T5, risk=medium",Discovery,medium,New,,,,14,,,,,0,0,0,0,,,,,,,
KW-0020,hotel group,Australia,,site:.com.au hotel group contact Australia,,"Generator: template=T5, risk=medium",Discovery,medium,New,,,,14,,,,,0,0,0,0,,,,,,,
KW-0021,restaurant group,Australia,,filetype:pdf restaurant group procurement Australia,,"Generator: template=T6, risk=low",Discovery,low,New,,,,14,,,,,0,0,0,0,,,,,,,
KW-0022,restaurant owner,Australia,,filetype:pdf restaurant owner procurement Australia,,"Generator: template=T6, risk=low",Discovery,low,New,,,,14,,,,,0,0,0,0,,,,,,,
KW-0023,hotel group,Australia,,filetype:pdf hotel group procurement Australia,,"Generator: template=T6, risk=low",Discovery,low,New,,,,14,,,,,0,0,0,0,,,,,,,
KW-0024,restaurant group,Australia,,"""new opening"" restaurant group Australia",,"Generator: template=T7, risk=medium",Discovery,high,New,Yes,2026-05-29T14:50:33.059512,2026-06-12T14:50:33.059512,14,,,0.5,0.0,1,1,0,0,,,,,,,
KW-0025,restaurant owner,Australia,,"""new opening"" restaurant owner Australia",,"Generator: template=T7, risk=medium",Discovery,high,New,Yes,2026-05-29T14:50:33.051328,2026-06-12T14:50:33.051328,14,,,0.5,0.0,1,1,0,0,,,,,,,
KW-0026,hotel group,Australia,,"""new opening"" hotel group Australia",,"Generator: template=T7, risk=medium",Discovery,high,New,,,,14,,,,,0,0,0,0,,,,,,,
KW-0027,restaurant group,Australia,,restaurant group Australia new opening contact,,"Generator: template=T8, risk=medium",Discovery,medium,New,,,,14,,,,,0,0,0,0,,,,,,,
KW-0028,restaurant owner,Australia,,restaurant owner Australia new opening contact,,"Generator: template=T8, risk=medium",Discovery,medium,New,,,,14,,,,,0,0,0,0,,,,,,,
KW-0029,hotel group,Australia,,hotel group Australia new opening contact,,"Generator: template=T8, risk=medium",Discovery,medium,New,,,,14,,,,,0,0,0,0,,,,,,,
KW-0030,restaurant group,Australia,,owner restaurant group Australia email OR phone OR contact,,"Generator: template=T9, risk=medium",Discovery,high,New,Yes,2026-05-29T14:50:33.049049,2026-06-12T14:50:33.049049,14,,,0.5,0.0,1,1,0,0,,,,,,,
KW-0031,restaurant owner,Australia,,owner restaurant owner Australia email OR phone OR contact,,"Generator: template=T9, risk=medium",Discovery,high,New,,,,14,,,,,0,0,0,0,,,,,,,
KW-0032,hotel group,Australia,,owner hotel group Australia email OR phone OR contact,,"Generator: template=T9, risk=medium",Discovery,high,New,Yes,2026-05-29T14:50:33.050314,2026-06-12T14:50:33.050314,14,,,0.5,0.0,1,1,0,0,,,,,,,
